fecha,cod_depto,nom_depto,MPIO_CDPMP,nom_mpio,num_casos,poblacion,casos_por_millon
2021-07-01,05,ANTIOQUIA,05002,ABEJORRAL,34,17599.0,1932.0
2021-07-01,05,ANTIOQUIA,05030,AMAGA,12,26821.0,448.0
2021-07-01,05,ANTIOQUIA,05031,AMALFI,1,20265.0,50.0
2021-07-01,05,ANTIOQUIA,05034,ANDES,10,38144.0,263.0
2021-07-01,05,ANTIOQUIA,05036,ANGELOPOLIS,2,5027.0,398.0
2021-07-01,05,ANTIOQUIA,05038,ANGOSTURA,2,10500.0,191.0
2021-07-01,05,ANTIOQUIA,05040,ANORI,1,14502.0,69.0
2021-07-01,05,ANTIOQUIA,05042,SANTA FE DE ANTIOQUIA,12,23216.0,517.0
2021-07-01,05,ANTIOQUIA,05044,ANZA,6,6388.0,940.0
2021-07-01,05,ANTIOQUIA,05045,APARTADO,29,113469.0,256.0
2021-07-01,05,ANTIOQUIA,05051,ARBOLETES,8,26289.0,305.0
2021-07-01,05,ANTIOQUIA,05079,BARBOSA,20,44757.0,447.0
2021-07-01,05,ANTIOQUIA,05088,BELLO,263,481901.0,546.0
2021-07-01,05,ANTIOQUIA,05091,BETANIA,3,8589.0,350.0
2021-07-01,05,ANTIOQUIA,05093,BETULIA,4,15097.0,265.0
2021-07-01,05,ANTIOQUIA,05101,BOLIVAR,31,23361.0,1327.0
2021-07-01,05,ANTIOQUIA,05113,BURITICA,8,7409.0,1080.0
2021-07-01,05,ANTIOQUIA,05120,CACERES,2,26460.0,76.0
2021-07-01,05,ANTIOQUIA,05125,CAICEDO,1,7018.0,143.0
2021-07-01,05,ANTIOQUIA,05129,CALDAS,54,76260.0,709.0
2021-07-01,05,ANTIOQUIA,05138,CAÑASGORDAS,2,13595.0,148.0
2021-07-01,05,ANTIOQUIA,05147,CAREPA,6,45936.0,131.0
2021-07-01,05,ANTIOQUIA,05148,CARMEN DE VIBORAL,33,53949.0,612.0
2021-07-01,05,ANTIOQUIA,05154,CAUCASIA,71,84717.0,839.0
2021-07-01,05,ANTIOQUIA,05172,CHIGORODO,11,55564.0,198.0
2021-07-01,05,ANTIOQUIA,05190,CISNEROS,3,8910.0,337.0
2021-07-01,05,ANTIOQUIA,05197,COCORNA,6,14743.0,407.0
2021-07-01,05,ANTIOQUIA,05206,CONCEPCION,1,3936.0,255.0
2021-07-01,05,ANTIOQUIA,05209,CONCORDIA,1,16095.0,63.0
2021-07-01,05,ANTIOQUIA,05212,COPACABANA,20,76479.0,262.0
2021-07-01,05,ANTIOQUIA,05234,DABEIBA,9,22717.0,397.0
2021-07-01,05,ANTIOQUIA,05237,DON MATIAS,11,14208.0,775.0
2021-07-01,05,ANTIOQUIA,05240,EBEJICO,5,10338.0,484.0
2021-07-01,05,ANTIOQUIA,05250,EL BAGRE,16,47642.0,336.0
2021-07-01,05,ANTIOQUIA,05264,ENTRERRIOS,4,8820.0,454.0
2021-07-01,05,ANTIOQUIA,05266,ENVIGADO,58,212437.0,274.0
2021-07-01,05,ANTIOQUIA,05282,FREDONIA,17,18790.0,905.0
2021-07-01,05,ANTIOQUIA,05284,FRONTINO,12,20156.0,596.0
2021-07-01,05,ANTIOQUIA,05306,GIRALDO,2,5057.0,396.0
2021-07-01,05,ANTIOQUIA,05308,GIRARDOTA,12,49045.0,245.0
2021-07-01,05,ANTIOQUIA,05310,GOMEZ PLATA,1,8235.0,122.0
2021-07-01,05,ANTIOQUIA,05313,GRANADA,19,9204.0,2065.0
2021-07-01,05,ANTIOQUIA,05315,GUADALUPE,1,5452.0,184.0
2021-07-01,05,ANTIOQUIA,05318,GUARNE,33,42500.0,777.0
2021-07-01,05,ANTIOQUIA,05321,GUATAPE,4,7038.0,569.0
2021-07-01,05,ANTIOQUIA,05347,HELICONIA,1,4709.0,213.0
2021-07-01,05,ANTIOQUIA,05353,HISPANIA,1,4950.0,203.0
2021-07-01,05,ANTIOQUIA,05360,ITAGUI,227,263332.0,863.0
2021-07-01,05,ANTIOQUIA,05361,ITUANGO,6,23784.0,253.0
2021-07-01,05,ANTIOQUIA,05364,JARDIN,3,13541.0,222.0
2021-07-01,05,ANTIOQUIA,05376,LA CEJA,31,59386.0,523.0
2021-07-01,05,ANTIOQUIA,05380,LA ESTRELLA,18,67881.0,266.0
2021-07-01,05,ANTIOQUIA,05390,LA PINTADA,6,7974.0,753.0
2021-07-01,05,ANTIOQUIA,05400,LA UNION,2,20769.0,97.0
2021-07-01,05,ANTIOQUIA,05411,LIBORINA,2,7928.0,253.0
2021-07-01,05,ANTIOQUIA,05425,MACEO,3,7297.0,412.0
2021-07-01,05,ANTIOQUIA,05440,MARINILLA,41,55230.0,743.0
2021-07-01,05,ANTIOQUIA,05480,MUTATA,8,12607.0,635.0
2021-07-01,05,ANTIOQUIA,05483,NARIÑO,2,8603.0,233.0
2021-07-01,05,ANTIOQUIA,05490,NECOCLI,1,38420.0,27.0
2021-07-01,05,ANTIOQUIA,05495,NECHI,13,24066.0,541.0
2021-07-01,05,ANTIOQUIA,05501,OLAYA,1,2719.0,368.0
2021-07-01,05,ANTIOQUIA,05541,PEÑOL,24,18010.0,1333.0
2021-07-01,05,ANTIOQUIA,05579,PUERTO BERRIO,21,36801.0,571.0
2021-07-01,05,ANTIOQUIA,05591,PUERTO TRIUNFO,2,17231.0,117.0
2021-07-01,05,ANTIOQUIA,05604,REMEDIOS,56,22530.0,2486.0
2021-07-01,05,ANTIOQUIA,05607,RETIRO,8,20700.0,387.0
2021-07-01,05,ANTIOQUIA,05615,RIONEGRO,137,116400.0,1177.0
2021-07-01,05,ANTIOQUIA,05631,SABANETA,53,81797.0,648.0
2021-07-01,05,ANTIOQUIA,05642,SALGAR,7,15782.0,444.0
2021-07-01,05,ANTIOQUIA,05649,SAN CARLOS,2,14480.0,139.0
2021-07-01,05,ANTIOQUIA,05656,SAN JERONIMO,5,13158.0,380.0
2021-07-01,05,ANTIOQUIA,05658,SAN JOSE DE LA MONTANA,6,2952.0,2033.0
2021-07-01,05,ANTIOQUIA,05659,SAN JUAN DE URABA,5,19992.0,251.0
2021-07-01,05,ANTIOQUIA,05660,SAN LUIS,14,11120.0,1259.0
2021-07-01,05,ANTIOQUIA,05664,SAN PEDRO,10,17119.0,585.0
2021-07-01,05,ANTIOQUIA,05665,SAN PEDRO DE URABA,20,30527.0,656.0
2021-07-01,05,ANTIOQUIA,05667,SAN RAFAEL,9,12578.0,716.0
2021-07-01,05,ANTIOQUIA,05670,SAN ROQUE,1,17792.0,57.0
2021-07-01,05,ANTIOQUIA,05674,SAN VICENTE,7,18051.0,388.0
