fecha,cod_depto,nom_depto,MPIO_CDPMP,nom_mpio,num_casos,poblacion,casos_por_millon
2021-08-25,05,ANTIOQUIA,05001,MEDELLIN,371,2372330.0,157.0
2021-08-25,05,ANTIOQUIA,05002,ABEJORRAL,1,17599.0,57.0
2021-08-25,05,ANTIOQUIA,05030,AMAGA,1,26821.0,38.0
2021-08-25,05,ANTIOQUIA,05034,ANDES,1,38144.0,27.0
2021-08-25,05,ANTIOQUIA,05045,APARTADO,5,113469.0,45.0
2021-08-25,05,ANTIOQUIA,05088,BELLO,74,481901.0,154.0
2021-08-25,05,ANTIOQUIA,05129,CALDAS,6,76260.0,79.0
2021-08-25,05,ANTIOQUIA,05148,CARMEN DE VIBORAL,1,53949.0,19.0
2021-08-25,05,ANTIOQUIA,05154,CAUCASIA,1,84717.0,12.0
2021-08-25,05,ANTIOQUIA,05212,COPACABANA,2,76479.0,27.0
2021-08-25,05,ANTIOQUIA,05250,EL BAGRE,9,47642.0,189.0
2021-08-25,05,ANTIOQUIA,05266,ENVIGADO,13,212437.0,62.0
2021-08-25,05,ANTIOQUIA,05282,FREDONIA,1,18790.0,54.0
2021-08-25,05,ANTIOQUIA,05308,GIRARDOTA,3,49045.0,62.0
2021-08-25,05,ANTIOQUIA,05318,GUARNE,4,42500.0,95.0
2021-08-25,05,ANTIOQUIA,05360,ITAGUI,50,263332.0,190.0
2021-08-25,05,ANTIOQUIA,05368,JERICO,4,11257.0,356.0
2021-08-25,05,ANTIOQUIA,05376,LA CEJA,1,59386.0,17.0
2021-08-25,05,ANTIOQUIA,05380,LA ESTRELLA,2,67881.0,30.0
2021-08-25,05,ANTIOQUIA,05400,LA UNION,1,20769.0,49.0
2021-08-25,05,ANTIOQUIA,05440,MARINILLA,8,55230.0,145.0
2021-08-25,05,ANTIOQUIA,05467,MONTEBELLO,1,5881.0,171.0
2021-08-25,05,ANTIOQUIA,05480,MUTATA,1,12607.0,80.0
2021-08-25,05,ANTIOQUIA,05490,NECOCLI,1,38420.0,27.0
2021-08-25,05,ANTIOQUIA,05501,OLAYA,1,2719.0,368.0
2021-08-25,05,ANTIOQUIA,05541,PEÑOL,2,18010.0,112.0
2021-08-25,05,ANTIOQUIA,05604,REMEDIOS,4,22530.0,178.0
2021-08-25,05,ANTIOQUIA,05607,RETIRO,1,20700.0,49.0
2021-08-25,05,ANTIOQUIA,05615,RIONEGRO,21,116400.0,181.0
2021-08-25,05,ANTIOQUIA,05631,SABANETA,5,81797.0,62.0
2021-08-25,05,ANTIOQUIA,05660,SAN LUIS,1,11120.0,90.0
2021-08-25,05,ANTIOQUIA,05665,SAN PEDRO DE URABA,1,30527.0,33.0
2021-08-25,05,ANTIOQUIA,05697,SANTUARIO,4,30311.0,132.0
2021-08-25,05,ANTIOQUIA,05736,SEGOVIA,2,33690.0,60.0
2021-08-25,05,ANTIOQUIA,05837,TURBO,1,114434.0,9.0
2021-08-25,05,ANTIOQUIA,05847,URRAO,4,29004.0,138.0
2021-08-25,05,ANTIOQUIA,05887,YARUMAL,1,36337.0,28.0
2021-08-25,08,ATLANTICO,08078,BARANOA,2,61527.0,33.0
2021-08-25,08,ATLANTICO,08433,MALAMBO,2,119920.0,17.0
2021-08-25,08,ATLANTICO,08573,PUERTO COLOMBIA,4,47899.0,84.0
2021-08-25,08,ATLANTICO,08638,SABANALARGA,1,92480.0,11.0
2021-08-25,08,ATLANTICO,08758,SOLEDAD,25,535984.0,47.0
2021-08-25,11,BOGOTA,11001,BOGOTA,513,7181469.0,72.0
2021-08-25,13,BOLIVAR,13244,EL CARMEN DE BOLIVAR,1,67461.0,15.0
2021-08-25,13,BOLIVAR,13430,MAGANGUE,9,128003.0,71.0
2021-08-25,13,BOLIVAR,13440,MARGARITA,1,9720.0,103.0
2021-08-25,13,BOLIVAR,13468,MOMPOS,1,43217.0,24.0
2021-08-25,13,BOLIVAR,13647,SAN ESTANISLAO,7,16518.0,424.0
2021-08-25,13,BOLIVAR,13683,SANTA ROSA,1,18375.0,55.0
2021-08-25,13,BOLIVAR,13688,SANTA ROSA DEL SUR,3,27825.0,108.0
2021-08-25,15,BOYACA,15001,TUNJA,7,167991.0,42.0
2021-08-25,15,BOYACA,15022,ALMEIDA,1,1582.0,633.0
2021-08-25,15,BOYACA,15238,DUITAMA,1,117606.0,9.0
2021-08-25,15,BOYACA,15276,FLORESTA,1,3186.0,314.0
2021-08-25,15,BOYACA,15299,GARAGOA,3,14145.0,213.0
2021-08-25,15,BOYACA,15469,MONIQUIRA,2,20848.0,96.0
2021-08-25,15,BOYACA,15516,PAIPA,1,31141.0,33.0
2021-08-25,15,BOYACA,15572,PUERTO BOYACA,4,44784.0,90.0
2021-08-25,15,BOYACA,15759,SOGAMOSO,4,120462.0,34.0
2021-08-25,15,BOYACA,15761,SOMONDOCO,1,2377.0,421.0
2021-08-25,15,BOYACA,15798,TENZA,1,3461.0,289.0
2021-08-25,15,BOYACA,15804,TIBANA,1,7966.0,126.0
2021-08-25,17,CALDAS,17001,MANIZALES,19,400436.0,48.0
2021-08-25,17,CALDAS,17013,AGUADAS,2,20712.0,97.0
2021-08-25,17,CALDAS,17174,CHINCHINA,2,48484.0,42.0
2021-08-25,17,CALDAS,17380,LA DORADA,4,70802.0,57.0
2021-08-25,17,CALDAS,17777,SUPIA,1,26571.0,38.0
2021-08-25,17,CALDAS,17873,VILLAMARIA,3,62831.0,48.0
2021-08-25,18,CAQUETA,18001,FLORENCIA,7,156789.0,45.0
2021-08-25,18,CAQUETA,18205,CURILLO,1,7518.0,134.0
2021-08-25,18,CAQUETA,18753,SAN VICENTE DEL CAGUAN,4,42390.0,95.0
2021-08-25,19,CAUCA,19001,POPAYAN,23,277270.0,83.0
2021-08-25,19,CAUCA,19022,ALMAGUER,2,16523.0,122.0
2021-08-25,19,CAUCA,19100,BOLIVAR,25,35837.0,698.0
2021-08-25,19,CAUCA,19130,CAJIBIO,2,32237.0,63.0
2021-08-25,19,CAUCA,19137,CALDONO,1,36139.0,28.0
2021-08-25,19,CAUCA,19142,CALOTO,1,25416.0,40.0
2021-08-25,19,CAUCA,19212,CORINTO,1,21975.0,46.0
2021-08-25,19,CAUCA,19392,LA SIERRA,2,9935.0,202.0
2021-08-25,19,CAUCA,19450,MERCADERES,3,14824.0,203.0
2021-08-25,19,CAUCA,19455,MIRANDA,2,28662.0,70.0
2021-08-25,19,CAUCA,19532,PATIA (EL BORDO),1,28586.0,35.0
2021-08-25,19,CAUCA,19548,PIENDAMO,2,33431.0,60.0
2021-08-25,19,CAUCA,19585,PURACE,1,14952.0,67.0
2021-08-25,19,CAUCA,19693,SAN SEBASTIAN,2,9806.0,204.0
2021-08-25,19,CAUCA,19698,SANTANDER DE QUILICHAO,2,96032.0,21.0
2021-08-25,19,CAUCA,19807,TIMBIO,5,32217.0,156.0
2021-08-25,19,CAUCA,19821,TORIBIO,1,30654.0,33.0
2021-08-25,19,CAUCA,19824,TOTORO,1,20870.0,48.0
2021-08-25,20,CESAR,20001,VALLEDUPAR,24,459349.0,53.0
2021-08-25,20,CESAR,20011,AGUACHICA,1,95878.0,11.0
2021-08-25,20,CESAR,20013,AGUSTIN CODAZZI,1,58621.0,18.0
2021-08-25,20,CESAR,20060,BOSCONIA,1,37531.0,27.0
2021-08-25,20,CESAR,20228,CURUMANI,3,34838.0,87.0
2021-08-25,20,CESAR,20250,EL PASO,4,34620.0,116.0
2021-08-25,20,CESAR,20710,SAN ALBERTO,2,23040.0,87.0
2021-08-25,23,CORDOBA,23001,MONTERIA,13,433723.0,30.0
2021-08-25,23,CORDOBA,23162,CERETE,1,96252.0,11.0
2021-08-25,23,CORDOBA,23182,CHINU,1,42680.0,24.0
2021-08-25,23,CORDOBA,23189,CIENAGA DE ORO,4,56278.0,72.0
2021-08-25,23,CORDOBA,23417,LORICA,1,98491.0,11.0
2021-08-25,23,CORDOBA,23464,MOMIL,1,16264.0,62.0
2021-08-25,23,CORDOBA,23466,MONTELIBANO,35,71824.0,488.0
2021-08-25,23,CORDOBA,23555,PLANETA RICA,2,60259.0,34.0
2021-08-25,23,CORDOBA,23580,PUERTO LIBERTADOR,1,35362.0,29.0
2021-08-25,23,CORDOBA,23660,SAHAGUN,1,94020.0,11.0
2021-08-25,23,CORDOBA,23675,SAN BERNARDO DEL VIENTO,1,29437.0,34.0
2021-08-25,23,CORDOBA,23686,SAN PELAYO,1,40617.0,25.0
2021-08-25,23,CORDOBA,23815,TUCHIN,1,40033.0,25.0
2021-08-25,25,CUNDINAMARCA,25019,ALBAN,1,6136.0,163.0
2021-08-25,25,CUNDINAMARCA,25035,ANAPOIMA,2,12241.0,164.0
2021-08-25,25,CUNDINAMARCA,25126,CAJICA,4,81111.0,50.0
2021-08-25,25,CUNDINAMARCA,25151,CAQUEZA,1,15594.0,65.0
2021-08-25,25,CUNDINAMARCA,25154,CARMEN DE CARUPA,1,7345.0,137.0
2021-08-25,25,CUNDINAMARCA,25175,CHIA,8,129613.0,62.0
2021-08-25,25,CUNDINAMARCA,25200,COGUA,1,21102.0,48.0
2021-08-25,25,CUNDINAMARCA,25214,COTA,4,31868.0,126.0
2021-08-25,25,CUNDINAMARCA,25260,EL ROSAL,1,21887.0,46.0
2021-08-25,25,CUNDINAMARCA,25269,FACATATIVA,4,136041.0,30.0
2021-08-25,25,CUNDINAMARCA,25286,FUNZA,1,90854.0,12.0
2021-08-25,25,CUNDINAMARCA,25290,FUSAGASUGA,5,134658.0,38.0
2021-08-25,25,CUNDINAMARCA,25295,GACHANCIPA,1,16633.0,61.0
2021-08-25,25,CUNDINAMARCA,25307,GIRARDOT,3,92903.0,33.0
2021-08-25,25,CUNDINAMARCA,25377,LA CALERA,1,28501.0,36.0
2021-08-25,25,CUNDINAMARCA,25386,LA MESA,1,29452.0,34.0
2021-08-25,25,CUNDINAMARCA,25430,MADRID,2,109696.0,19.0
2021-08-25,25,CUNDINAMARCA,25436,MANTA,1,3354.0,299.0
2021-08-25,25,CUNDINAMARCA,25473,MOSQUERA,2,128893.0,16.0
2021-08-25,25,CUNDINAMARCA,25483,NARIÑO,2,2101.0,952.0
2021-08-25,25,CUNDINAMARCA,25486,NEMOCON,1,12198.0,82.0
2021-08-25,25,CUNDINAMARCA,25596,QUIPILE,2,6114.0,328.0
2021-08-25,25,CUNDINAMARCA,25736,SESQUILE,2,11067.0,181.0
2021-08-25,25,CUNDINAMARCA,25740,SIBATE,2,32803.0,61.0
2021-08-25,25,CUNDINAMARCA,25743,SILVANIA,1,20581.0,49.0
2021-08-25,25,CUNDINAMARCA,25745,SIMIJACA,1,11526.0,87.0
2021-08-25,25,CUNDINAMARCA,25754,SOACHA,15,645205.0,24.0
2021-08-25,25,CUNDINAMARCA,25758,SOPO,1,24838.0,41.0
2021-08-25,25,CUNDINAMARCA,25772,SUESCA,1,15401.0,65.0
2021-08-25,25,CUNDINAMARCA,25799,TENJO,1,20386.0,50.0
2021-08-25,25,CUNDINAMARCA,25843,UBATE,1,40001.0,25.0
2021-08-25,25,CUNDINAMARCA,25875,VILLETA,1,25957.0,39.0
2021-08-25,25,CUNDINAMARCA,25899,ZIPAQUIRA,2,129652.0,16.0
2021-08-25,27,CHOCO,27810,UNION PANAMERICANA,1,6590.0,152.0
2021-08-25,41,HUILA,41001,NEIVA,17,314526.0,55.0
2021-08-25,41,HUILA,41006,ACEVEDO,2,24562.0,82.0
2021-08-25,41,HUILA,41016,AIPE,1,14817.0,68.0
2021-08-25,41,HUILA,41020,ALGECIRAS,3,20259.0,149.0
2021-08-25,41,HUILA,41026,ALTAMIRA,1,4169.0,240.0
2021-08-25,41,HUILA,41298,GARZON,1,66311.0,16.0
2021-08-25,41,HUILA,41319,GUADALUPE,2,15913.0,126.0
2021-08-25,41,HUILA,41396,LA PLATA,1,54405.0,19.0
2021-08-25,41,HUILA,41551,PITALITO,3,120287.0,25.0
2021-08-25,41,HUILA,41615,RIVERA,2,22877.0,88.0
2021-08-25,44,GUAJIRA,44001,RIOHACHA,6,177573.0,34.0
2021-08-25,44,GUAJIRA,44098,DISTRACCION,1,11934.0,84.0
2021-08-25,44,GUAJIRA,44430,MAICAO,2,159223.0,13.0
2021-08-25,44,GUAJIRA,44855,URUMITA,1,10198.0,99.0
2021-08-25,44,GUAJIRA,44874,VILLANUEVA,1,24996.0,41.0
2021-08-25,47,MAGDALENA,47053,ARACATACA,1,37476.0,27.0
2021-08-25,47,MAGDALENA,47170,CHIVOLO,1,18208.0,55.0
2021-08-25,47,MAGDALENA,47189,CIENAGA,1,118435.0,9.0
2021-08-25,47,MAGDALENA,47245,EL BANCO,1,59594.0,17.0
2021-08-25,47,MAGDALENA,47288,FUNDACION,2,64833.0,31.0
2021-08-25,47,MAGDALENA,47318,GUAMAL,5,25312.0,198.0
2021-08-25,47,MAGDALENA,47460,NUEVA GRANADA,1,17470.0,58.0
2021-08-25,47,MAGDALENA,47545,PIJIÑO DEL CARMEN (PIJIÑO),1,11071.0,91.0
2021-08-25,47,MAGDALENA,47692,SAN SEBASTIAN DE BUENAVISTA,2,18865.0,107.0
2021-08-25,50,META,50001,VILLAVICENCIO,17,451212.0,38.0
2021-08-25,50,META,50006,ACACIAS,2,78199.0,26.0
2021-08-25,50,META,50245,EL CALVARIO,1,1575.0,635.0
2021-08-25,50,META,50370,LA URIBE,2,8549.0,234.0
2021-08-25,50,META,50568,PUERTO GAITAN,3,41017.0,74.0
2021-08-25,50,META,50573,PUERTO LOPEZ,1,28270.0,36.0
2021-08-25,50,META,50606,RESTREPO,1,17610.0,57.0
2021-08-25,50,META,50683,SAN JUAN DE ARAMA,1,8242.0,122.0
2021-08-25,52,NARIÑO,52001,PASTO,30,352326.0,86.0
2021-08-25,52,NARIÑO,52019,ALBAN (SAN JOSE),1,8197.0,122.0
2021-08-25,52,NARIÑO,52203,COLON (GENOVA),1,7764.0,129.0
2021-08-25,52,NARIÑO,52210,CONTADERO,1,6421.0,156.0
2021-08-25,52,NARIÑO,52227,CUMBAL,2,32672.0,62.0
2021-08-25,52,NARIÑO,52256,EL ROSARIO,1,6498.0,154.0
2021-08-25,52,NARIÑO,52287,FUNES,1,6211.0,162.0
2021-08-25,52,NARIÑO,52356,IPIALES,13,105517.0,124.0
2021-08-25,52,NARIÑO,52399,LA UNION,4,28659.0,140.0
2021-08-25,52,NARIÑO,52540,POLICARPA,2,8149.0,246.0
2021-08-25,52,NARIÑO,52560,POTOSI,1,10186.0,99.0
2021-08-25,52,NARIÑO,52678,SAMANIEGO,1,23727.0,43.0
2021-08-25,52,NARIÑO,52685,SAN BERNARDO,3,8874.0,339.0
2021-08-25,52,NARIÑO,52687,SAN LORENZO,2,16653.0,121.0
2021-08-25,52,NARIÑO,52699,SANTA CRUZ (GUACHAVES),1,9869.0,102.0
2021-08-25,54,NORTE SANTANDER,54001,CUCUTA,35,629414.0,56.0
2021-08-25,54,NORTE SANTANDER,54377,LABATECA,3,5550.0,541.0
2021-08-25,54,NORTE SANTANDER,54405,LOS PATIOS,7,81411.0,86.0
2021-08-25,54,NORTE SANTANDER,54498,OCAÑA,6,111643.0,54.0
2021-08-25,54,NORTE SANTANDER,54518,PAMPLONA,4,45521.0,88.0
2021-08-25,54,NORTE SANTANDER,54599,RAGONVALIA,2,5420.0,370.0
2021-08-25,54,NORTE SANTANDER,54810,TIBU,1,51399.0,20.0
2021-08-25,54,NORTE SANTANDER,54820,TOLEDO,3,14962.0,201.0
2021-08-25,54,NORTE SANTANDER,54874,VILLA DEL ROSARIO,1,93735.0,11.0
2021-08-25,63,QUINDIO,63001,ARMENIA,23,275641.0,84.0
2021-08-25,63,QUINDIO,63401,LA TEBAIDA,1,32564.0,31.0
2021-08-25,63,QUINDIO,63470,MONTENEGRO,1,35324.0,29.0
2021-08-25,66,RISARALDA,66001,PEREIRA,22,409670.0,54.0
2021-08-25,66,RISARALDA,66045,APIA,1,10707.0,94.0
2021-08-25,66,RISARALDA,66170,DOSQUEBRADAS,2,194890.0,11.0
2021-08-25,66,RISARALDA,66383,LA CELIA,1,6178.0,162.0
2021-08-25,66,RISARALDA,66687,SANTUARIO,2,11787.0,170.0
2021-08-25,68,SANTANDER,68001,BUCARAMANGA,27,528855.0,52.0
2021-08-25,68,SANTANDER,68077,BARBOSA,3,28769.0,105.0
2021-08-25,68,SANTANDER,68079,BARICHARA,3,7647.0,393.0
